episode,file,actions_taken,total_reward,epsilon,instrs_eliminated
0,tests/train_files/train_deep_few_dominated_has_large_v01.simpl,0,2584.6152,1.000,32
0,tests/train_files/train_deep_few_dominated_has_large_v02.simpl,0,2750.0000,1.000,30
0,tests/train_files/train_deep_few_dominated_has_large_v03.simpl,0,2271.4285,1.000,30
0,tests/train_files/train_deep_few_dominated_has_medium_v01.simpl,0,1166.6666,1.000,6
0,tests/train_files/train_deep_few_dominated_has_medium_v02.simpl,0,1500.0000,1.000,4
0,tests/train_files/train_deep_few_dominated_has_medium_v03.simpl,0,928.5714,1.000,4
0,tests/train_files/train_deep_few_dominated_no_large_v01.simpl,0,2249.9998,1.000,29
0,tests/train_files/train_deep_few_dominated_no_large_v02.simpl,0,1857.1428,1.000,26
0,tests/train_files/train_deep_few_dominated_no_large_v03.simpl,0,2326.9231,1.000,28
0,tests/train_files/train_deep_few_dominated_no_medium_v01.simpl,0,583.3333,1.000,3
0,tests/train_files/train_deep_few_dominated_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_dominated_no_medium_v03.simpl,0,458.3333,1.000,2
0,tests/train_files/train_deep_few_light_has_large_v01.simpl,0,2607.1428,1.000,34
0,tests/train_files/train_deep_few_light_has_large_v02.simpl,0,2634.6152,1.000,32
0,tests/train_files/train_deep_few_light_has_large_v03.simpl,0,2584.6152,1.000,32
0,tests/train_files/train_deep_few_light_has_medium_v01.simpl,0,1125.0000,1.000,6
0,tests/train_files/train_deep_few_light_has_medium_v02.simpl,0,1500.0000,1.000,4
0,tests/train_files/train_deep_few_light_has_medium_v03.simpl,0,1428.5713,1.000,4
0,tests/train_files/train_deep_few_light_no_large_v01.simpl,0,2392.8572,1.000,31
0,tests/train_files/train_deep_few_light_no_large_v02.simpl,0,1999.9999,1.000,28
0,tests/train_files/train_deep_few_light_no_large_v03.simpl,0,2480.7693,1.000,30
0,tests/train_files/train_deep_few_light_no_medium_v01.simpl,0,619.0476,1.000,3
0,tests/train_files/train_deep_few_light_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_light_no_medium_v03.simpl,0,642.8571,1.000,2
0,tests/train_files/train_deep_few_none_has_large_v01.simpl,0,2700.0000,1.000,36
0,tests/train_files/train_deep_few_none_has_large_v02.simpl,0,3250.0000,1.000,34
0,tests/train_files/train_deep_few_none_has_large_v03.simpl,0,2557.1428,1.000,34
0,tests/train_files/train_deep_few_none_has_medium_v01.simpl,0,1833.3333,1.000,6
0,tests/train_files/train_deep_few_none_has_medium_v02.simpl,0,1428.5713,1.000,4
0,tests/train_files/train_deep_few_none_has_medium_v03.simpl,0,1500.0000,1.000,4
0,tests/train_files/train_deep_few_none_no_large_v01.simpl,0,2333.3335,1.000,33
0,tests/train_files/train_deep_few_none_no_large_v02.simpl,0,2142.8572,1.000,30
0,tests/train_files/train_deep_few_none_no_large_v03.simpl,0,2414.2856,1.000,32
0,tests/train_files/train_deep_few_none_no_medium_v01.simpl,0,785.7142,1.000,3
0,tests/train_files/train_deep_few_none_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_none_no_medium_v03.simpl,0,642.8571,1.000,2
0,tests/train_files/train_deep_many_dominated_has_large_v01.simpl,0,3166.6665,1.000,28
0,tests/train_files/train_deep_many_dominated_has_large_v02.simpl,0,2452.3809,1.000,24
0,tests/train_files/train_deep_many_dominated_has_large_v03.simpl,0,3084.6152,1.000,25
0,tests/train_files/train_deep_many_dominated_has_medium_v01.simpl,0,3416.6665,1.000,14
0,tests/train_files/train_deep_many_dominated_has_medium_v02.simpl,0,2113.6362,1.000,10
0,tests/train_files/train_deep_many_dominated_has_medium_v03.simpl,0,2100.0000,1.000,11
0,tests/train_files/train_deep_many_dominated_no_large_v01.simpl,0,3383.3335,1.000,28
0,tests/train_files/train_deep_many_dominated_no_large_v02.simpl,0,2707.6924,1.000,24
0,tests/train_files/train_deep_many_dominated_no_large_v03.simpl,0,2641.0256,1.000,25
0,tests/train_files/train_deep_many_dominated_no_medium_v01.simpl,0,2875.0000,1.000,14
0,tests/train_files/train_deep_many_dominated_no_medium_v02.simpl,0,1466.6666,1.000,10
0,tests/train_files/train_deep_many_dominated_no_medium_v03.simpl,0,2272.7271,1.000,11
0,tests/train_files/train_deep_many_light_has_large_v01.simpl,0,3499.9998,1.000,34
0,tests/train_files/train_deep_many_light_has_large_v02.simpl,0,2683.3333,1.000,30
0,tests/train_files/train_deep_many_light_has_large_v03.simpl,0,3036.6299,1.000,31
0,tests/train_files/train_deep_many_light_has_medium_v01.simpl,0,3107.1426,1.000,14
0,tests/train_files/train_deep_many_light_has_medium_v02.simpl,0,2650.0000,1.000,10
0,tests/train_files/train_deep_many_light_has_medium_v03.simpl,0,2600.0000,1.000,11
0,tests/train_files/train_deep_many_light_no_large_v01.simpl,0,3883.3333,1.000,34
0,tests/train_files/train_deep_many_light_no_large_v02.simpl,0,2935.8975,1.000,30
0,tests/train_files/train_deep_many_light_no_large_v03.simpl,0,2866.6667,1.000,31
0,tests/train_files/train_deep_many_light_no_medium_v01.simpl,0,3625.0000,1.000,14
0,tests/train_files/train_deep_many_light_no_medium_v02.simpl,0,2633.3333,1.000,10
0,tests/train_files/train_deep_many_light_no_medium_v03.simpl,0,3000.0000,1.000,11
0,tests/train_files/train_deep_many_none_has_large_v01.simpl,0,3416.6665,1.000,36
0,tests/train_files/train_deep_many_none_has_large_v02.simpl,0,2900.0000,1.000,32
0,tests/train_files/train_deep_many_none_has_large_v03.simpl,0,2862.7449,1.000,33
0,tests/train_files/train_deep_many_none_has_medium_v01.simpl,0,3416.6665,1.000,14
0,tests/train_files/train_deep_many_none_has_medium_v02.simpl,0,2694.4443,1.000,10
0,tests/train_files/train_deep_many_none_has_medium_v03.simpl,0,2900.0000,1.000,11
0,tests/train_files/train_deep_many_none_no_large_v01.simpl,0,3428.5713,1.000,36
0,tests/train_files/train_deep_many_none_no_large_v02.simpl,0,3185.7144,1.000,32
0,tests/train_files/train_deep_many_none_no_large_v03.simpl,0,3385.7144,1.000,33
0,tests/train_files/train_deep_many_none_no_medium_v01.simpl,0,2425.0000,1.000,14
0,tests/train_files/train_deep_many_none_no_medium_v02.simpl,0,2022.7272,1.000,10
0,tests/train_files/train_deep_many_none_no_medium_v03.simpl,0,1933.3334,1.000,11
0,tests/train_files/train_deep_none_dominated_no_large_v01.simpl,0,3181.8181,1.000,35
0,tests/train_files/train_deep_none_dominated_no_large_v02.simpl,0,3181.8181,1.000,35
0,tests/train_files/train_deep_none_dominated_no_large_v03.simpl,0,2916.6667,1.000,35
0,tests/train_files/train_deep_none_dominated_no_medium_v01.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_dominated_no_medium_v02.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_dominated_no_medium_v03.simpl,0,250.0000,1.000,1
0,tests/train_files/train_deep_none_none_no_large_v01.simpl,0,2692.3076,1.000,35
0,tests/train_files/train_deep_none_none_no_large_v02.simpl,0,3181.8181,1.000,35
0,tests/train_files/train_deep_none_none_no_large_v03.simpl,0,2500.0000,1.000,35
0,tests/train_files/train_deep_none_none_no_medium_v01.simpl,0,0.0000,1.000,0
