[RL] Loaded Q-table from 'rl_qtable.bin' (episodes=81900)
[RL] episodes trained: 81900

=== Q-Table: learned first-action (passes_done=0, visited states only) ===
loop     arith      adt         const     size         best_action    Q-value
------   --------   ---------   -------   ---------    -------------  -------
none     none       none        no-const  tiny(<10)    ConstFold      1107.18
none     none       none        no-const  medium       ConstFold      2468.07
none     none       none        no-const  large(>50)   ConstFold      2455.65
none     none       dominated   no-const  tiny(<10)    ConstFold      354.59
none     none       dominated   no-const  medium       ConstFold      1791.33
none     none       dominated   no-const  large(>50)   ConstFold      2352.43
none     few(<=4)   none        no-const  tiny(<10)    ConstFold      4321.29
none     few(<=4)   none        no-const  medium       ConstFold      3498.67
none     few(<=4)   none        no-const  large(>50)   ConstFold      2913.28
none     few(<=4)   none        has-const tiny(<10)    ConstFold      3938.77
none     few(<=4)   none        has-const medium       ConstFold      3634.70
none     few(<=4)   none        has-const large(>50)   ConstFold      2852.01
none     few(<=4)   light       no-const  tiny(<10)    ConstFold      3632.63
none     few(<=4)   light       no-const  medium       ConstFold      3453.28
none     few(<=4)   light       no-const  large(>50)   ConstFold      2918.74
none     few(<=4)   light       has-const tiny(<10)    ConstFold      3462.63
none     few(<=4)   light       has-const medium       ConstFold      3309.66
none     few(<=4)   light       has-const large(>50)   ConstFold      2826.49
none     few(<=4)   dominated   no-const  medium       ConstFold      3359.79
none     few(<=4)   dominated   no-const  large(>50)   ConstFold      2873.93
none     few(<=4)   dominated   has-const medium       ConstFold      2950.65
none     few(<=4)   dominated   has-const large(>50)   ConstFold      2807.32
none     many(>4)   none        no-const  medium       ConstFold      5603.06
none     many(>4)   none        no-const  large(>50)   ConstFold      3065.41
none     many(>4)   none        has-const medium       ConstFold      4533.57
none     many(>4)   none        has-const large(>50)   ConstFold      3094.30
none     many(>4)   light       no-const  medium       ConstFold      5682.74
none     many(>4)   light       no-const  large(>50)   ConstFold      3131.45
none     many(>4)   light       has-const medium       ConstFold      5238.22
none     many(>4)   light       has-const large(>50)   ConstFold      3226.04
none     many(>4)   dominated   no-const  medium       ConstFold      5125.05
none     many(>4)   dominated   no-const  large(>50)   ConstFold      3085.24
none     many(>4)   dominated   has-const medium       ConstFold      5262.35
none     many(>4)   dominated   has-const large(>50)   ConstFold      3211.40
shallow  none       none        no-const  medium       ConstFold      83.92
shallow  none       none        no-const  large(>50)   ConstFold      1603.61
shallow  none       dominated   no-const  medium       ConstFold      101.94
shallow  none       dominated   no-const  large(>50)   ConstFold      1805.73
shallow  few(<=4)   none        no-const  medium       CopyProp       307.78
shallow  few(<=4)   none        no-const  large(>50)   CopyProp       1470.12
shallow  few(<=4)   none        has-const medium       ConstFold      628.83
shallow  few(<=4)   none        has-const large(>50)   ConstFold      1620.10
shallow  few(<=4)   light       no-const  medium       CopyProp       286.04
shallow  few(<=4)   light       no-const  large(>50)   CopyProp       1411.85
shallow  few(<=4)   light       has-const medium       ConstFold      598.18
shallow  few(<=4)   light       has-const large(>50)   ConstFold      1584.35
shallow  few(<=4)   dominated   no-const  medium       CopyProp       248.53
shallow  few(<=4)   dominated   no-const  large(>50)   CopyProp       1377.65
shallow  few(<=4)   dominated   has-const medium       ConstFold      593.48
shallow  few(<=4)   dominated   has-const large(>50)   ConstFold      1514.29
shallow  many(>4)   none        no-const  medium       CopyProp       1845.00
