episode,file,actions_taken,total_reward,epsilon,instrs_eliminated
0,tests/train_files/train_deep_few_dominated_has_large_v01.simpl,0,2634.6152,1.000,32
0,tests/train_files/train_deep_few_dominated_has_large_v02.simpl,0,2564.1025,1.000,30
0,tests/train_files/train_deep_few_dominated_has_large_v03.simpl,0,2430.7693,1.000,30
0,tests/train_files/train_deep_few_dominated_has_medium_v01.simpl,0,1625.0000,1.000,6
0,tests/train_files/train_deep_few_dominated_has_medium_v02.simpl,0,1374.9999,1.000,4
0,tests/train_files/train_deep_few_dominated_has_medium_v03.simpl,0,1374.9999,1.000,4
0,tests/train_files/train_deep_few_dominated_no_large_v01.simpl,0,2353.8462,1.000,29
0,tests/train_files/train_deep_few_dominated_no_large_v02.simpl,0,1733.3334,1.000,26
0,tests/train_files/train_deep_few_dominated_no_large_v03.simpl,0,1966.6666,1.000,28
0,tests/train_files/train_deep_few_dominated_no_medium_v01.simpl,0,785.7142,1.000,3
0,tests/train_files/train_deep_few_dominated_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_dominated_no_medium_v03.simpl,0,611.1111,1.000,2
0,tests/train_files/train_deep_few_light_has_large_v01.simpl,0,2950.0000,1.000,34
0,tests/train_files/train_deep_few_light_has_large_v02.simpl,0,3151.5151,1.000,32
0,tests/train_files/train_deep_few_light_has_large_v03.simpl,0,2464.2856,1.000,32
0,tests/train_files/train_deep_few_light_has_medium_v01.simpl,0,1714.2856,1.000,6
0,tests/train_files/train_deep_few_light_has_medium_v02.simpl,0,1374.9999,1.000,4
0,tests/train_files/train_deep_few_light_has_medium_v03.simpl,0,928.5714,1.000,4
0,tests/train_files/train_deep_few_light_no_large_v01.simpl,0,2700.0000,1.000,31
0,tests/train_files/train_deep_few_light_no_large_v02.simpl,0,2153.8462,1.000,28
0,tests/train_files/train_deep_few_light_no_large_v03.simpl,0,2480.7693,1.000,30
0,tests/train_files/train_deep_few_light_no_medium_v01.simpl,0,785.7142,1.000,3
0,tests/train_files/train_deep_few_light_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_light_no_medium_v03.simpl,0,642.8571,1.000,2
0,tests/train_files/train_deep_few_none_has_large_v01.simpl,0,2583.3335,1.000,36
0,tests/train_files/train_deep_few_none_has_large_v02.simpl,0,3000.0000,1.000,34
0,tests/train_files/train_deep_few_none_has_large_v03.simpl,0,2262.5000,1.000,34
0,tests/train_files/train_deep_few_none_has_medium_v01.simpl,0,1625.0000,1.000,6
0,tests/train_files/train_deep_few_none_has_medium_v02.simpl,0,1428.5713,1.000,4
0,tests/train_files/train_deep_few_none_has_medium_v03.simpl,0,1500.0000,1.000,4
0,tests/train_files/train_deep_few_none_no_large_v01.simpl,0,2535.7141,1.000,33
0,tests/train_files/train_deep_few_none_no_large_v02.simpl,0,2142.8572,1.000,30
0,tests/train_files/train_deep_few_none_no_large_v03.simpl,0,2584.6152,1.000,32
0,tests/train_files/train_deep_few_none_no_medium_v01.simpl,0,833.3333,1.000,3
0,tests/train_files/train_deep_few_none_no_medium_v02.simpl,0,0.0000,1.000,0
0,tests/train_files/train_deep_few_none_no_medium_v03.simpl,0,642.8571,1.000,2
0,tests/train_files/train_deep_many_dominated_has_large_v01.simpl,0,3083.3333,1.000,28
0,tests/train_files/train_deep_many_dominated_has_large_v02.simpl,0,2717.9487,1.000,24
0,tests/train_files/train_deep_many_dominated_has_large_v03.simpl,0,2917.9487,1.000,25
0,tests/train_files/train_deep_many_dominated_has_medium_v01.simpl,0,2750.0000,1.000,14
0,tests/train_files/train_deep_many_dominated_has_medium_v02.simpl,0,2613.6362,1.000,10
0,tests/train_files/train_deep_many_dominated_has_medium_v03.simpl,0,2944.4443,1.000,11
0,tests/train_files/train_deep_many_dominated_no_large_v01.simpl,0,3700.0000,1.000,28
0,tests/train_files/train_deep_many_dominated_no_large_v02.simpl,0,2380.9521,1.000,24
0,tests/train_files/train_deep_many_dominated_no_large_v03.simpl,0,2641.0256,1.000,25
0,tests/train_files/train_deep_many_dominated_no_medium_v01.simpl,0,2750.0000,1.000,14
0,tests/train_files/train_deep_many_dominated_no_medium_v02.simpl,0,2050.0000,1.000,10
0,tests/train_files/train_deep_many_dominated_no_medium_v03.simpl,0,2250.0000,1.000,11
0,tests/train_files/train_deep_many_light_has_large_v01.simpl,0,3666.6667,1.000,34
0,tests/train_files/train_deep_many_light_has_large_v02.simpl,0,2797.6189,1.000,30
0,tests/train_files/train_deep_many_light_has_large_v03.simpl,0,3296.1538,1.000,31
0,tests/train_files/train_deep_many_light_has_medium_v01.simpl,0,3433.3333,1.000,14
0,tests/train_files/train_deep_many_light_has_medium_v02.simpl,0,2499.9998,1.000,10
0,tests/train_files/train_deep_many_light_has_medium_v03.simpl,0,2863.6362,1.000,11
0,tests/train_files/train_deep_many_light_no_large_v01.simpl,0,3208.7910,1.000,34
0,tests/train_files/train_deep_many_light_no_large_v02.simpl,0,3042.8569,1.000,30
