episode,file,actions_taken,total_reward,epsilon,instrs_eliminated
0,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,0,0.0000,1.000,0
0,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,0,0.0000,1.000,0
0,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,0,0.0000,1.000,0
0,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,0,0.0000,1.000,0
0,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,0,0.0000,1.000,0
0,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,0,0.0000,1.000,0
1,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,1.000,0
2,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,1.000,0
3,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,1.000,0
4,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,1.000,0
5,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,1.000,0
6,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.999,0
7,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.999,0
8,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.999,0
9,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.999,0
10,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.999,0
11,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.999,0
12,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.999,0
13,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.999,0
14,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.999,0
15,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.998,0
16,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.998,0
17,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.998,0
18,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.998,0
19,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.998,0
20,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.998,0
21,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.998,0
22,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.998,0
23,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.998,0
24,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.997,0
25,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.997,0
26,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.997,0
27,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.997,0
28,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.997,0
29,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.997,0
30,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.997,0
31,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.997,0
32,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.997,0
33,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.996,0
34,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.996,0
35,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.996,0
36,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.996,0
37,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.996,0
38,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.996,0
39,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.996,0
40,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.996,0
41,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.996,0
42,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.995,0
43,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.995,0
44,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.995,0
45,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.995,0
46,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.995,0
47,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.995,0
48,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.995,0
49,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.995,0
50,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.994,0
51,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v03.simpl,3,0.0000,0.994,0
52,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v01.simpl,3,0.0000,0.994,0
53,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v02.simpl,3,0.0000,0.994,0
54,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_shallow_none_none_no_tiny_v03.simpl,3,0.0000,0.994,0
55,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v01.simpl,3,0.0000,0.994,0
56,/var/folders/81/r32qphsj357_6qyzjxjr3vdh0000gn/T//simpl-warmup.gWjCuY/train_deep_none_none_no_medium_v02.simpl,3,0.0000,0.994,0
